epoch,train_mse,test_mse,lr,best
1,0.071211,0.037685,2e-05,True
2,0.024229,0.019113,4e-05,True
3,0.019501,0.018725,6e-05,True
4,0.018108,0.015491,8e-05,True
5,0.012448,0.009845,0.0001,True
6,0.008947,0.007675,9.999351124856874e-05,True
7,0.006558,0.005881,9.997404667843075e-05,True
8,0.005229,0.005348,9.994161134161634e-05,True
9,0.004176,0.004971,9.989621365671902e-05,True
10,0.003691,0.004079,9.983786540671051e-05,True
11,0.003391,0.003927,9.976658173588244e-05,True
12,0.003211,0.003922,9.968238114591566e-05,True
13,0.00302,0.003787,9.95852854910781e-05,True
14,0.002907,0.003706,9.947531997255256e-05,True
15,0.002724,0.003688,9.935251313189564e-05,True
16,0.003082,0.005909,9.921689684362989e-05,False
17,0.003588,0.003254,9.906850630697068e-05,True
18,0.002447,0.003332,9.890738003669029e-05,False
19,0.002331,0.00305,9.87335598531214e-05,True
20,0.002206,0.00316,9.85470908713026e-05,False
21,0.002187,0.003085,9.834802148926882e-05,False
22,0.002044,0.002854,9.813640337548954e-05,True
23,0.002006,0.003811,9.791229145545831e-05,False
24,0.002043,0.002707,9.767574389743682e-05,True
25,0.001854,0.002589,9.742682209735727e-05,True
26,0.001742,0.002765,9.716559066288715e-05,False
27,0.001749,0.00263,9.689211739666023e-05,False
28,0.001643,0.002525,9.66064732786784e-05,True
29,0.001637,0.002528,9.630873244788883e-05,False
30,0.001544,0.002453,9.599897218294122e-05,True
31,0.001527,0.002606,9.567727288213005e-05,False
32,0.001902,0.002396,9.534371804252728e-05,True
33,0.001519,0.002606,9.49983942383106e-05,False
34,0.001409,0.002563,9.464139109829321e-05,False
35,0.001377,0.002406,9.42728012826605e-05,False
36,0.002019,0.005692,9.389272045892024e-05,False
37,0.001801,0.002463,9.350124727707197e-05,False
38,0.001272,0.002344,9.309848334400246e-05,True
39,0.00119,0.002325,9.268453319711363e-05,True
40,0.001195,0.002266,9.225950427718975e-05,True
41,0.00115,0.00227,9.182350690051133e-05,False
42,0.001372,0.002346,9.13766542302225e-05,False
43,0.001134,0.002303,9.091906224695935e-05,False
44,0.00108,0.002284,9.045084971874738e-05,False
45,0.001028,0.002262,8.997213817017507e-05,True
46,0.001062,0.00259,8.948305185085225e-05,False
47,0.001782,0.002256,8.898371770316111e-05,True
48,0.000996,0.002661,8.847426532930831e-05,False
49,0.00103,0.002358,8.795482695768658e-05,False
50,0.000929,0.002281,8.742553740855506e-05,False
51,0.000921,0.002453,8.688653405904652e-05,False
52,0.000949,0.005267,8.633795680751116e-05,False
53,0.001312,0.002445,8.577994803720606e-05,False
54,0.000866,0.002483,8.521265257933948e-05,False
55,0.000853,0.002498,8.463621767547998e-05,False
56,0.000788,0.002309,8.405079293933986e-05,False
57,0.000763,0.00242,8.345653031794292e-05,False
58,0.000733,0.0024,8.285358405218655e-05,False
59,0.000781,0.002657,8.224211063680853e-05,False
60,0.000719,0.002629,8.162226877976887e-05,False
61,0.000703,0.002583,8.099421936105702e-05,False
62,0.000706,0.002774,8.035812539093557e-05,False
63,0.000691,0.00268,7.971415196763088e-05,False
64,0.000663,0.002604,7.906246623448183e-05,False
65,0.000644,0.002732,7.840323733655778e-05,False
66,0.000646,0.002443,7.773663637675694e-05,False
67,0.000697,0.002634,7.706283637139658e-05,False
68,0.000629,0.002827,7.638201220530665e-05,False
69,0.000584,0.002503,7.569434058643844e-05,False
70,0.000608,0.002646,7.500000000000001e-05,False
71,0.000569,0.002653,7.42991706621303e-05,False
72,0.000541,0.00294,7.35920344731241e-05,False
73,0.000573,0.002765,7.287877497021978e-05,False
74,0.000601,0.002671,7.215957727996207e-05,False
75,0.000504,0.002619,7.143462807015271e-05,False
76,0.000523,0.002713,7.07041155014006e-05,False
77,0.000508,0.002726,6.996822917828477e-05,False
78,0.000563,0.002542,6.922716010014255e-05,False
79,0.000565,0.002833,6.848110061149556e-05,False
80,0.000598,0.002861,6.773024435212678e-05,False
81,0.000494,0.002864,6.697478620682137e-05,False
82,0.000486,0.002712,6.621492225478414e-05,False
83,0.000467,0.002676,6.545084971874738e-05,False
84,0.000461,0.002732,6.468276691378155e-05,False
85,0.000481,0.002763,6.391087319582264e-05,False
86,0.000466,0.002677,6.313536890992935e-05,False
87,0.00044,0.002867,6.235645533828349e-05,False
